company,name,local_status,platform,category,recommendation,confidence,evidence,links
武汉多比特,Astrasen Global,exact_in_company,GP/iOS,already_in_library,已在库中，不需要补,high,"当前库已有 33 条产品；样例：Associate Words: Solitaire, Screw Sort Puzzle™- Pin Jam 3D, Screw Sort Puzzle™- Pin Jam 3D",
武汉多比特,BitBreaker Studios,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,Bitepoch,exact_in_company,iOS,already_in_library,已在库中，不需要补,high,"当前库已有 16 条产品；样例：Tape Mania - Untape Jam Master, Jigsaw Flip: 3D Sorting Puzzle, Wool Master 3D",
武汉多比特,Brainjoy Games,exact_in_company,GP,already_in_library,已在库中，不需要补,high,"当前库已有 14 条产品；样例：Word Search: Crush Puzzles, 漢字クイズ: Kanji Idioms Word Game, Word Quiz: Kerun Word Search",
武汉多比特,Cai yiping,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,DoPuz Games,exact_in_company,GP,already_in_library,已在库中，不需要补,high,"当前库已有 19 条产品；样例：Tricky Bounce - Brick Breaker, Onet Animal: Tile Onnect 3D, Stickman Escape",
武汉多比特,"Duozr Technology Co.,Ltd",exact_in_company,iOS,already_in_library,已在库中，不需要补,high,"当前库已有 6 条产品；样例：LinkPuz - Tiles Connect Games, 弹一弹 - 最强弹球弹一弹小游戏, 方块消除—开心六角六边形消除小游戏",
武汉多比特,FingerLab,missing_local,iOS,candidate_found_no_overlap,候选补充；已找到精确开发者页，但当前库无产品重合,medium,"Apple 精确开发者：Fingerlab id=412786610，搜索结果 13 条；样例：iOS apps: SK-51, PolyWave, Polagone",https://apps.apple.com/developer/id412786610
武汉多比特,Free Apps Crafter,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,FunKoo Inc.,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,Funny Puzzle,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,GameLord 3D,missing_local,GP,candidate_found_no_overlap,候选补充；已找到精确开发者页，但当前库无产品重合,medium,"GP 开发者页存在，约 20 个链接；样例：GP apps: space.fighter.shooting.games, park.master.car.parking.games, conquer.the.tower.city.wars",https://play.google.com/store/apps/developer?id=GameLord+3D&hl=en&gl=us
武汉多比特,Gametertain,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,Gametertain Studio,missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
武汉多比特,"Halos Labs Technology Co.,Ltd",missing_local,iOS,candidate_found_no_overlap,候选补充；已找到精确开发者页，但当前库无产品重合,medium,"Apple 精确开发者：Halos Labs Technology Co.,Ltd id=1444276437，搜索结果 7 条；样例：iOS apps: Conquer The City - Takeover It, 2 Player Battle -No Wifi Games, Sudoku - Sudoku Games",https://apps.apple.com/developer/id1444276437
武汉多比特,"Happy Bubble Information Technology Co., Ltd.",missing_local,-,not_found,暂不补；两端未找到精确开发者匹配,low,未找到精确开发者页或精确 Apple artistName。,
